repo,test_ratio,test_files,java_files,num_commits,stars,has_ci_system,has_build_system,main_language,forks,first_commit_date,last_commit_date,project_life_days
royale-compiler,0.0993,292,2940,5010.0,103,True,True,Java,51,2012-08-16 15:00:35+00:00,2025-11-05 17:28:13+00:00,4829.0
asterixdb,0.0983,159,1617,10403.0,298,False,True,Java,143,2010-06-16 20:42:03+00:00,2025-11-13 17:03:55+00:00,5628.0
incubator-taverna-engine,0.0983,58,590,2267.0,17,True,True,Java,9,2009-02-05 13:17:08+00:00,2020-03-12 16:28:51+00:00,4053.0
juddi,0.0976,96,984,2997.0,18,True,True,Java,15,2003-11-09 13:33:09+00:00,2023-01-20 23:22:43+00:00,7012.0
camel-kafka-connector,0.0972,86,885,2374.0,166,True,True,Java,108,2019-12-04 11:12:24+00:00,2025-10-17 03:17:58+00:00,2143.0
reef,0.0961,180,1873,3875.0,96,True,True,Java,95,2012-08-01 16:33:53+00:00,2021-05-26 15:06:07+00:00,3219.0
eventmesh,0.0918,157,1711,4839.0,1678,True,True,Java,640,2019-09-16 03:04:57+00:00,2025-10-31 15:57:20+00:00,2237.0
tomcat-taglibs-standard,0.0915,29,317,1009.0,5,True,True,Java,7,2001-11-21 07:34:02+00:00,2023-01-20 10:07:05+00:00,7730.0
tapestry-5,0.0913,302,3309,5851.0,128,True,True,Java,94,2007-04-24 02:30:57+00:00,2025-11-16 08:50:57+00:00,6781.0
streampark,0.0905,45,497,2019.0,4234,True,True,Java,1047,2021-05-23 17:00:20+00:00,2025-11-02 03:05:10+00:00,1623.0
fineract,0.0899,499,5552,9083.0,1879,True,True,Java,2148,2012-04-20 09:31:01+00:00,2025-10-28 13:32:28+00:00,4939.0
stratos,0.0862,124,1438,8951.0,158,False,True,Java,115,2013-06-28 19:05:24+00:00,2017-02-17 08:23:58+00:00,1329.0
geronimo-gshell,0.0854,31,363,1691.0,11,False,True,Java,5,2006-05-04 08:12:04+00:00,2009-06-24 10:24:03+00:00,1147.0
servicemix4-kernel,0.0842,16,190,526.0,3,False,True,Java,4,2007-11-26 18:06:16+00:00,2009-04-23 17:37:01+00:00,513.0
unomi,0.0825,60,727,2678.0,330,True,True,Java,137,2014-04-23 08:06:35+00:00,2025-11-10 10:58:11+00:00,4219.0
db-jdo,0.082,90,1098,1924.0,36,True,True,Java,22,2005-03-18 22:51:42+00:00,2025-11-07 20:02:44+00:00,7538.0
activemq-apollo,0.0802,28,349,2244.0,154,False,True,Java,71,2009-02-11 19:57:08+00:00,2019-03-11 22:01:10+00:00,3680.0
streampipes,0.079,166,2100,11510.0,686,True,True,Java,213,2014-07-22 11:28:15+00:00,2025-11-21 08:20:21+00:00,4139.0
incubator-retired-slider,0.0778,39,501,1974.0,77,False,True,Java,72,2014-05-01 12:20:32+00:00,2018-05-24 21:04:51+00:00,1484.0
maven-pmd-plugin,0.0775,11,142,968.0,55,True,True,Java,51,2005-07-21 02:20:27+00:00,2025-11-16 00:21:03+00:00,7422.0
groovy,0.0769,138,1795,21982.0,5397,True,True,Java,1913,2003-08-28 18:48:39+00:00,2025-11-21 16:39:14+00:00,8120.0
xmlgraphics-batik,0.0764,127,1663,3597.0,236,True,True,Java,152,2000-10-01 07:37:01+00:00,2025-11-21 16:37:21+00:00,9182.0
airavata,0.0764,71,929,10824.0,132,True,True,Java,139,2011-07-09 19:21:43+00:00,2025-11-21 18:09:26+00:00,5248.0
myfaces-trinidad,0.0761,133,1748,4730.0,5,False,True,Java,10,2006-04-14 05:58:45+00:00,2021-02-11 17:08:26+00:00,5417.0
xerces-j,0.074,62,838,5651.0,5,True,True,Java,11,1999-11-09 01:10:52+00:00,2025-11-21 23:50:09+00:00,9509.0
manifoldcf,0.0728,100,1374,5254.0,80,True,True,Java,66,2010-01-11 22:36:06+00:00,2025-09-30 09:19:04+00:00,5740.0
xerces2-j,0.0708,59,833,5510.0,38,False,True,Java,63,1999-11-09 01:10:52+00:00,2019-04-06 04:32:42+00:00,7088.0
ignite-teamcity-bot,0.0701,30,428,834.0,10,True,True,Java,25,2017-07-20 21:11:08+00:00,2025-11-21 08:54:59+00:00,3045.0
ofbiz-framework,0.0661,76,1149,29467.0,963,True,True,Java,612,2006-07-01 19:05:20+00:00,2025-11-20 09:33:30+00:00,7081.0
directory-fortress-core,0.0629,21,334,2108.0,51,False,True,Java,35,2011-09-11 18:28:10+00:00,2025-08-15 14:36:50+00:00,5086.0
odftoolkit,0.0601,149,2481,822.0,36,False,True,Java,24,2011-08-31 09:29:37+00:00,2018-10-02 11:11:40+00:00,2589.0
karaf-cellar,0.0597,19,318,1271.0,50,True,True,Java,51,2011-05-06 17:55:35+00:00,2025-09-25 08:57:11+00:00,5255.0
empire-db,0.0579,27,466,1851.0,88,False,True,Java,25,2008-08-04 07:33:09+00:00,2025-11-18 11:56:23+00:00,6315.0
ofbiz,0.0534,57,1068,24427.0,801,False,True,Java,557,2006-07-01 19:05:20+00:00,2017-02-12 10:32:53+00:00,3878.0
ant-ivyde,0.0524,11,210,849.0,13,False,True,Java,16,2007-01-24 18:30:33+00:00,2023-11-26 15:50:11+00:00,6149.0
tapestry3,0.0518,44,849,1985.0,5,False,True,Java,12,2000-07-24 14:38:00+00:00,2024-12-08 15:49:38+00:00,8903.0
struts1,0.0507,34,671,5272.0,33,False,True,Java,88,2000-05-31 22:28:08+00:00,2010-10-08 23:16:24+00:00,3782.0
seatunnel-web,0.0497,29,584,2329.0,755,True,True,Java,332,2017-08-05 14:30:14+00:00,2025-07-24 11:45:55+00:00,2909.0
cocoon,0.0473,133,2811,13218.0,28,False,True,Java,25,2003-02-27 01:27:33+00:00,2023-10-29 11:28:19+00:00,7549.0
james-hupa,0.0471,19,403,727.0,23,False,True,Java,17,2009-09-04 09:04:09+00:00,2021-07-30 10:52:51+00:00,4347.0
geronimo-specs,0.0454,174,3836,1900.0,27,False,True,Java,30,2003-08-14 16:12:52+00:00,2019-08-10 13:59:29+00:00,5839.0
plc4x,0.0445,230,5173,9634.0,1499,True,True,Java,462,2017-10-16 11:09:26+00:00,2025-11-21 13:12:09+00:00,2958.0
uima-ducc,0.039,46,1178,4948.0,1,False,True,Java,0,2013-01-02 18:47:50+00:00,2020-05-27 12:41:11+00:00,2701.0
directory-studio,0.0363,67,1847,5828.0,141,True,True,Java,61,2006-11-16 09:49:01+00:00,2025-08-11 07:40:30+00:00,6842.0
